acc_quantile,race_ASIAN,race_BLACK,race_HISPANIC,race_WHITE
0,0.11660329531051965,0.06337135614702155,0.08960709759188847,0.7304182509505703
1,0.11946386946386946,0.06585081585081586,0.09856809856809857,0.7161172161172161
2,0.1199925004687207,0.05680894944065996,0.104180988688207,0.7190175614024124
3,0.11624909369209699,0.06372351566905664,0.1115765729477161,0.7084508176911303
4,0.12207051151416344,0.05726513144487467,0.11188098634603627,0.7087833706949256
