acc_quantile,Female,Male
0,0.41077313054499365,0.5892268694550064
1,0.40942390942390944,0.5905760905760906
2,0.4060371226798325,0.5939628773201675
3,0.40215902682671395,0.5978409731732861
4,0.414102302832688,0.585897697167312
