,Female,Male
quantile_0,0.002912724157560133,-0.002912724157560091
quantile_1,0.0022868471072363676,-0.0022868471072363607
quantile_2,-0.0017421729160896273,0.0017421729160896188
quantile_3,-0.005818487208967758,0.005818487208967698
quantile_4,0.004384323243458826,-0.004384323243458777
