Metric,MedGemma_median,MedGemma_ci_l,MedGemma_ci_h,LLaVA-Rad_Base_median,LLaVA-Rad_Base_ci_l,LLaVA-Rad_Base_ci_h,LLaVA-Rad_Finetuned_median,LLaVA-Rad_Finetuned_ci_l,LLaVA-Rad_Finetuned_ci_h
Micro-F1-14,0.500526872729978,0.4637558027502846,0.5366545893719807,0.5435055045419435,0.5388758448543103,0.5489449706738335,0.6197630148658348,0.614524951195358,0.62468919987173
Macro-F1-14,0.279960501172524,0.2460546004792107,0.3210537652322269,0.3151819022502078,0.3080739464857571,0.3224306459067229,0.3595760188702383,0.3518633107024729,0.3665480554827641
Micro-F1-5,0.4036177400021793,0.3292966751918159,0.4730657600132681,0.4750803866832093,0.4678757791347456,0.4831302411415813,0.571458779233887,0.5643223909126417,0.5780410612397923
Macro-F1-5,0.3184976220046707,0.2486074117987737,0.3710247852552044,0.3752507114088411,0.3673375072826976,0.3838155701794621,0.4657971925851804,0.4575910823141918,0.4741447707429551
